admin2_name,admin2_pcode,admin1_name,admin1_pcode,admin0_name,admin0_pcode,number_of_named_languages,main_language,main_language_share,Arhuaco,Malayo,Barí,Coconucan,Pijao,Awa-Cuaiquer,Cubeo,Curripaco,Embera,Guambiano,Cañamomo,Inga,Camsa,Kogi,Chibcha,Paéz,Piapoco,Puinave,Pasto,Saliba,Guahibo,Totoro,Ticuna,Tunebo,Woun Meu,Guajiro,Ocaina,Napo Lowland Quechua,Yukpa,Embera-Catio,Mokana,Kamkuamo,Spanish,English,French,Italian,German,Other,pop_total,pop_male,pop_female,literacy_all,literacy_male,literacy_female,language_data_yn,data_confidence,notes
#adm2+name,#adm2+code,#adm1+name,#adm1+code,#country+name,#country+code,#indicator+lang+num,#indicator+lang+main,#indicator+lang+main+pct,#indicator+lang+pct+iso639-3_arh,#indicator+lang+pct+iso639-3_mbp,#indicator+lang+pct+iso639-3_mot,#indicator+lang+pct+iso639-3_cca,#indicator+lang+pct+iso639-3_pij,#indicator+lang+pct+iso639-3_kwi,#indicator+lang+pct+iso639-3_cub,#indicator+lang+pct+iso639-3_kpc,#indicator+lang+pct+iso639-3_emp,#indicator+lang+pct+iso639-3_gum,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_ing,#indicator+lang+pct+iso639-3_kbh,#indicator+lang+pct+iso639-3_kog,#indicator+lang+pct+iso639-3_chb,#indicator+lang+pct+iso639-3_pbb,#indicator+lang+pct+iso639-3_pio,#indicator+lang+pct+iso639-3_pui,#indicator+lang+pct+iso639-3_bpb,#indicator+lang+pct+iso639-3_slc,#indicator+lang+pct+iso639-3_guh,#indicator+lang+pct+iso639-3_ttk,#indicator+lang+pct+iso639-3_tca,#indicator+lang+pct+iso639-3_tnd,#indicator+lang+pct+iso639-3_noa,#indicator+lang+pct+iso639-3_guc,#indicator+lang+pct+iso639-3_oca,#indicator+lang+pct+iso639-3_qvo,#indicator+lang+pct+iso639-3_yup,#indicator+lang+pct+iso639-3_cto,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_unknown,#indicator+lang+pct+iso639-3_spa,#indicator+lang+pct+iso639-3_eng,#indicator+lang+pct+iso639-3_fra,#indicator+lang+pct+iso639-3_ita,#indicator+lang+pct+iso639-3_deu,#indicator+lang+pct+iso639-3_unknown,#population+total,#population+m+total,#population+f+total,#population+total+pct+literate+age3up,#population+m+pct+literate+age3up,#population+f+pct+literate+age3up,#meta+data+bool,#meta+confidence,#meta+text
Medellín,CO05001,Antioquia,CO05,Colombia,CO,5,Spanish,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.047,0.006,0.004,0.003,0.008,2203372,1028677,1174700,0.879,0.869,0.889,Yes,Medium,
Bucaramanga,CO68001,Santander,CO68,Colombia,CO,5,Spanish,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.040,0.005,0.002,0.000,0.008,498090,232478,265613,0.920,0.918,0.922,Yes,Medium,
Bello,CO05088,Antioquia,CO05,Colombia,CO,5,Spanish,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.022,0.006,0.004,0.005,0.009,363690,170877,192811,0.906,0.895,0.916,Yes,Medium,
Floridablanca,CO68276,Santander,CO68,Colombia,CO,5,Spanish,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.045,0.005,0.000,0.000,0.012,250202,117085,133118,0.928,0.925,0.931,Yes,Medium,
Itagüí,CO05360,Antioquia,CO05,Colombia,CO,5,Spanish,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.033,0.000,0.000,0.000,0.017,233981,110542,123441,0.925,0.916,0.933,Yes,Medium,
"San Pedro de Uraba, Turbo, Necoclí","CO05664,CO05837,CO05490",Antioquia,CO05,Colombia,CO,6,Spanish,0.998,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.998,0.007,0.000,0.000,0.000,0.019,197898,100581,97318,0.746,0.745,0.747,Yes,Medium,
Barrancabermeja,CO68079,Santander,CO68,Colombia,CO,6,Spanish,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.021,0.000,0.000,0.000,0.017,183820,88294,95527,0.896,0.894,0.899,Yes,Medium,
Envigado,CO05266,Antioquia,CO05,Colombia,CO,6,Spanish,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.097,0.011,0.006,0.000,0.016,174271,79929,94343,0.929,0.922,0.934,Yes,Medium,
Girón,CO68307,Santander,CO68,Colombia,CO,5,Spanish,0.999,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.999,0.008,0.000,0.000,0.000,0.000,133827,65016,68810,0.893,0.894,0.892,Yes,Medium,
